id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank you all for being here today. I am in an area that I personally feel I have a special connection to. Not only because I am a Member of Parliament for the prefecture of Larissa, but also because I have a root in Thessaly as a whole, and I have roots in the wider region.","Θα ήθελα να σας ευχαριστήσω όλους που είστε σήμερα εδώ. Βρίσκομαι σε μια περιοχή που προσωπικά θεωρώ ότι έχω ιδιαίτερη σχέση με αυτή την περιοχή. Όχι μόνο γιατί μου και βουλευτής του νομού Λαρίσης, αλλά γιατί συνολικά στη Θεσσαλία έχω μια ρίζα πείτε παραφυάδα στην ευρύτερη περιοχή. ",political agenda,other,other,,0.0,0.0,"[['larissa', 'location', '0.8'], ['thessaly', 'location', '0.6']]"
2,"What I want to stress is that unfortunately we are confirmed as the Greek solution for what has happened in the last few days.We understand that there is a lack of reasoning from the big parties in power, the ones that ruled because the big party is pretending to speak.We understand the difficulty they have in talking to the Greek people with arguments. But we cannot understand this falling into the mire of rivalry, insults and slander. I hear among them a boyish, boyish discourse that is particularly disturbing to me. Of course I expected it because in the last two months, in the context of their collaborations and who will work with whom, one with the other, with one or alone? They had to entrench their party audience and they found the worst way the vulgar way to insult each other. We will never go along with that logic.","Αυτό που θέλω να τονίσω είναι ότι δυστυχώς επιβεβαιωνόμαστε ως ελληνική λύση για τα διαδραματισθέντα τις τελευταίες μέρες.Αντιλαμβανόμαστε ότι υπάρχει έλλειμμα επιχειρηματολογίας από τα μεγάλα κόμματα εξουσίας, αυτά που κυβέρνησαν γιατί το μεγαλο κόμμα είναι προσχηματικός ο λόγος Αντιλαμβανόμαστε τη δυσκολία τους να μιλήσουν στον ελληνικό λαό με επιχειρήματα. Δεν μπορούμε να αντιληφθούμε όμως αυτόν τον ξεπεσμό στον βούρκο της αντιπαλότητας, με ύβρεις και με συκοφαντίες. Ακούω μεταξύ τους μια αγοραία, έναν αγοραίο λόγο που με προβληματίζει ιδιαίτερα. Βέβαια το περίμενα γιατί τους τελευταίους 2 μήνες, στα πλαίσια των συνεργασιών τους και ποιος θα συνεργαστεί με ποιον ο ένας με τους δυο ίδιο, με τον έναν ή κατά μόνας; Έπρεπε να περιχαρακώσουν το κομματικό τους ακροατήριο και βρήκαν το χειρότερο τρόπο το χυδαίο τρόπο να υβρίζουν ένας τον άλλον. Εμείς δεν θα μπούμε ποτέ σε αυτή τη λογική.",criticism,elections,other,-0.6,0.2,0.0,"[['greek', 'country', '1.0']]"
3,"This morning I don't know how many people watched, Elon Musk put up a tweet on Twitter and it shows a road, a road that one side they all follow together like a herd and sheep and another road. The lonely road to success and Musk said that at some point in life you have to choose the road that leads to success even if it is a lonely road. So the Greek solution has chosen the lonely, difficult way for a very long time. This way that we are treated by the system as a difficulty for this parastate of Athens and the system of Athens treats the Greek solution with hatred. And with envy but also with insults without arguments. This shows that we are causing them panic. I've been reading infinite fake news its been seeing fake news and fake parties lately. Because the new republic in their panic is trying to create the I repeat, impressions we will not follow them.","Σήμερα το πρωί δεν ξέρω πόσοι παρακολούθησε ο Ελον Μασκ ανέβασε ένα τουίτ στο Τουίτερ και δείχνει ένα δρόμο, ένα δρόμο που τη μια πλευρά ακολουθούν όλοι μαζί σαν την αγέλη και τα πρόβατα και ένας άλλος δρόμος. Ο μοναχικός δρόμος της επιτυχίας και είπε ο μασκ ότι κάποια στιγμή στη ζωή πρέπει να επιλέξεις τον δρόμο που σε οδηγεί στην επιτυχία κι ας είναι μοναχικός. Η ελληνική λύση λοιπόν τον έχει επιλέξει εδώ και πάρα πολύ καιρό τον μοναχικό, το δύσκολο τρόπο. Αυτό τον τρόπο που  αντιμετωπιζόμαστε από το σύστημα ως μια δυσκολία για αυτό το παρακράτος των Αθηνών και το σύστημα των Αθηνών αντιμετωπίζει την ελληνική λύση με μίσος. Και με φθόνο αλλά και με ύβρεις χωρίς επιχειρήματα. Αυτό δείχνει ότι τους προκαλούμε πανικό. Έχω διαβάσει απειρες ειδήσεις fake news το να βλέπω και fake κομματα τελευταία. Διότι η νέα δημοκρατία στον πανικό της προσπαθεί να δημιουργήσει το επαναλαμβάνω, εντυπώσεις δεν θα τους ακολουθήσουμε.",political agenda,elections,other,-0.3,0.0,0.0,"[['elon musk', 'person', '0.8'], ['twitter', 'organization', '0.5'], ['greek solution', 'group of people', '0.7'], ['athens', 'location', '0.9'], ['greek solution', 'political party', '0.6'], ['new republic', 'political party', '0.6']]"
4,"Because we are not the ones who have brought the country to bankruptcy. We are not the ones who are mired in scandals and direct contracting is the new democracy. The family shop of Mr Mitsotakis is not the new democracy; they are not the new democracy; they are the ones that the Greeks knew have nothing to do with Constantine Karamanlis, the first of this party, a party that is steeped in corruption, one still steeped in familialism not just because the whole family is almost fed by the public or the wider public sector. That's the last thing that matters, but because they don't want people of immaculate morality, transparent, crystal clear, to spoil what they have built, the corrupt state. ","Διότι εμείς δεν είμαστε αυτοί που έχουμε φέρει τη χώρα στην πτώχευση. Δεν είμαστε αυτοί που είμαστε βουτηγμένοι στα σκάνδαλα και σε απευθείας αναθέσεις είναι η νέα δημοκρατία. Το οικογενειακό μαγαζί του κυρίου Μητσοτάκη δεν είναι η νέα δημοκρατία αυτοί που ήξεραν οι Έλληνες δεν έχει καμία σχέση με τον Κωνσταντίνο Καραμανλή, τον πρώτο αυτό το κόμμα, ένα κόμμα που τηγμένο στη διαφθορά, ένα ακόμα στην οικογενειοκρατία βουτηγμένο όχι απλά γιατί όλη η οικογένεια σχεδόν σιτίζεται από το δημόσιο ή τον ευρύτερο δημόσιο τομέα Αυτό το τελευταίο που απασχολεί, αλλά γιατί δεν θέλουν ανθρώπους αμέμπτου ηθικής διαφανούς κρυστάλλινους να τους χαλάσουν αυτό που έχουν φτιάξει το διεφθαρμένο κράτος. ",criticism,corruption,corruption,-0.9,0.9,,"[['constantine karamanlis', 'person', '0.6'], ['mr mitsotakis', 'person', '0.5'], ['greeks', 'group of people', '0.4'], ['new democracy', 'political party', '0.9'], ['corrupt state', 'organization', '0.6']]"
5,"We will continue. We will keep talking, we will keep shouting and, most importantly, we will keep reminding in every direction. That Greece today is among the 5 worst European countries in terms of journalism. This does not honor, not the journalists, the journalists. Unfortunately, they are employees, they are under others, but to the publishers, these rodents of the country, that's what I call them. Unfortunately, it is an unfortunate truth about the reality that they left Greek journalism and Greek information in the clutches of the New Democracy of Mr. Mitsotakis. What is happening with information Greece really can only happen in third world countries. Only in the world, in the world, which is really in a deplorable state; reporting, sick, democracy, sick, corruption triumphs.","Θα συνεχίσουμε εμείς. Να μιλάμε, θα συνεχίζουμε να φωνάζουμε και το κυριότερο, θα υπενθυμίζουμε προς κάθε κατεύθυνση. Ότι η Ελλάδα σήμερα είναι στις 5 χειρότερες ευρωπαϊκές χώρες σε επίπεδο δημοσιογραφίας. Αυτό δεν τιμά, όχι τους δημοσιογράφους, οι δημοσιογράφοι.Στα κανάλια στις εφημερίδες. Δυστυχώς είναι υπάλληλοι, είναι υπό αλλήλων, αλλά στους εκδότες αυτά τα τρωκτικά της χώρας έτσι τους αποκαλώ. Δυστυχώς είναι μια αλήθεια δυστυχής για την πραγματικότητα που άφησαν την ελληνική δημοσιογραφία και την ελληνική ενημέρωση στα νύχια της Νέας Δημοκρατίας του κυρίου Μητσοτάκη. Συμβαίνουν με την ενημέρωση την Ελλάδα πραγματικά μόνο σε τριτοκοσμικές χώρες μπορεί να συμβαίνουν. Μόνο σε κόσμο, σε κόσμο, ο οποίος είναι πραγματικά σε μια κατάσταση οικτρή.Οι ενημερώσεις, νοσεί, η δημοκρατία, νοσεί, η διαφθορά θριαμβεύει. ",criticism,media,journalism,-0.8,0.0,0.0,"[['greece', 'location', '1.0'], ['european countries', 'group of people', '1.0'], ['journalism', 'organization', '1.0'], ['journalists', 'person', '1.0'], ['publishers', 'group of people', '1.0'], ['country', 'location', '1.0'], ['greek journalism', 'organization', '1.0'], ['greek information', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['third world countries', 'location', '1.0'], ['world', 'location', '1.0'], ['democracy', 'organization', '1.0'], ['corruption', 'organization', '1.0']]"
6,"This is not the state that the Greek solution envisions, this Greek solution talks about a meritocratic state, a state where better people can get and occupy positions. That is why I often insist on the Athens parastate, which hates the province. I am squarely on this parastate and the Athens para system hates the whole province, does not want the province and it is the first time in the political history of the country that still from the province. It is in Athens and the saying of a top minister that we shouldn't let Velopoulos run Athens says it all. They think that the parastate in Athens is their own shop, that no one can intrude there. Nobody can have an opinion and a say, but they are wrong. The Greek people. May 21 will give it its answer and it will be loud. It will be a resounding one no matter what they are working on behind the scenes. Today the press is full of apostasy scenarios. I need not say anything else, but those of you who read the press, which is still free and can write freely, read the scenarios that the machismo is working on. My point of view is redundant and I say redundant because I have been confronted with it in the past few days? Personally myself. and the operation of looting the Greek solution by the back door after the elections, but they are dealing with a man and his team, who know what is going on around them, they got their answer. We soon got the solutions in our hands and cut the Gordian knot. So their panic up created fake parties, since they couldn't get away with apostasy and co-government with the Greek solution, which would never happen at least as long as I was standing.","Δεν είναι το κράτος που οραματίζεται η ελληνική λύση, αυτό η ελληνική λύση μιλάει για ένα κράτος αξιοκρατικό, ένα κράτος όπου καλύτερη θα μπορέσουν να πάρουν και να καταλάβουν θέσεις. Γι αυτό και επιμένω πολλές φορές το παρακράτος των Αθηνών, το οποίο μισεί την επαρχία. Είμαι κάθετος σε αυτό το παρακράτος και το παρα σύστημα των Αθηνών μισεί όλη την επαρχία, δεν θέλει την επαρχία και είναι η πρώτη φορά στα πολιτικά χρονικά της χώρας που ακόμα από την επαρχία. Είναι στην Αθήνα και η ρήση κορυφαίου υπουργού ότι σιγά μην αφήσουμε το Βελόπουλο να κάνει κουμάντο στην Αθήνα τα λέει όλα. Αυτοί νομίζουν ότι το παρακράτος των Αθηνών είναι δικό τους μαγαζί, ότι δεν μπορεί κανείς να παρεισφρήσει εκεί μέσα. Κανείς δεν μπορεί να έχει άποψη και λόγο, αλλά κάνουν λάθος. Ο ελληνικός λαός. 21 Μαΐου θα της δώσει την απάντησή του και θα είναι ηχηρή. Θα είναι αποστομωτική ό, τι και να απεργάζονται στο παρασκήνιο. Σήμερα ο Τύπος βρίθει από σενάρια αποστασιών. Δεν χρειάζεται κάτι άλλο να πω εγώ όσοι διαβάζετε τύπο, ο οποίος ακόμη και τώρα παραμένει ελεύθερος και μπορεί να γράφει ελεύθερα, διαβάζετε τα σενάρια τα οποία απεργάζεται το μαξίμου. Η δική μου άποψη περισσεύει και λέω περισσεύει γιατί το αντιμετώπισα τις προηγούμενες μέρες; Προσωπικά ο ίδιος μου.Και την επιχείρηση λεηλασίας της ελληνικής λύσης διά της πλαγίας οδού μετά τις εκλογές, αλλά έχουν να κάνουν με έναν άνθρωπο και την ομάδα του, οι οποίοι γνωρίζουν τι γίνεται γύρω τους, τους πήραν την απάντηση τους. Σύντομα πήραμε τις λύσεις στα χέρια μας και κόψαμε τον γόρδιο δεσμό. Έτσι τον πανικό τους επάνω δημιουργούν fake κομματα, αφού δεν τους έβγαινε η αποστασία και η συγκυβέρνηση με την ελληνική λύση, η οποία ποτέ δεν θα γινόταν τουλάχιστον όσο ήταν όρθιος εγώ. ",criticism,elections,other,0.0,0.6,0.2,"[['athens', 'location', '1.0'], ['greece', 'country', '0.9'], ['greek solution', 'organization', '1.0'], ['athens parastate', 'organization', '1.0'], ['province', 'location', '0.9'], ['velopoulos', 'person', '1.0'], ['may 21', 'date', '1.0']]"
7,"I say this because the government and the opposition are divided. I said it yesterday from Thrace, where I was in Alexandroupolis, Komotini, Xanthi and Kavala, and they are possessed by the syndrome of abdominism. They promise everything to everyone nonsense of people who cannot produce wealth and produce debts. Today I heard the Prime Minister say that if elected he will reduce VAT on consumer goods. Until yesterday the lying Prime Minister was saying that this could not be done. Today the Prime Minister has found out today what we were telling him, namely about VAT.","Τα λέω αυτά, διότι. Κυβέρνηση και αντιπολίτευση διακατέχονται. Το είπα χθες από τη Θράκη, όπου βρισκόμουν σε Αλεξανδρούπολη, Κομοτηνή, Ξάνθη και Καβάλα, διακατέχονται από το σύνδρομο του αβδηριτισμού. Υπόσχονται τα πάντα σε όλους ανοησίες ανθρώπων που δεν μπορούν να παράγουν πλούτο και παράγουν χρέη. Σήμερα άκουσα τον κύριο πρωθυπουργό να λέει ότι αν εκλεγεί θα μειώσει τον ΦΠΑ στα καταναλωτικά αγαθά. Μέχρι χθες ο ψεύτης πρωθυπουργός έλεγε ότι αυτό δεν μπορεί να γίνει. Σήμερα το ανακάλυψε σήμερα ανακάλυψε όλες πρωθυπουργός αυτό που του λέγαμε εμείς δηλαδή για τον ΦΠΑ. ",criticism,economy,hospital privatization,-0.5,0.2,0.0,"[['alexandroupolis', 'location', '1.0'], ['komotini', 'location', '1.0'], ['xanthi', 'location', '1.0'], ['kavala', 'location', '1.0'], ['government', 'organization', '1.0'], ['opposition', 'organization', '1.0'], ['prime minister', 'person', '1.0'], ['date', 'date', '1.0'], ['vat', 'type', '1.0']]"
8,"Today the lying prime minister discovered the Greek solution proposal, that it will give incentives to employers to hire 10,000 young people without work experience. What we were telling him, instead of giving him the new unemployment fund, the unemployed, we should give him the salary and unemployment fund, so that he does not get 500 600 €, but he gets 1100 € salary","Σήμερα ανακάλυψε την πρόταση της ελληνικής λύσης ο ψεύτης πρωθυπουργός.Ότι θα δώσει κίνητρα στους εργοδότες για πρόσληψη 10.000 νέων χωρίς εργασιακή εμπειρία. Αυτό που του λέγαμε εμείς, αντί να του δίνουμε του νέου ταμείου ανεργίας, του Ανέργου, να του δίνουμε και το μισθό και ταμείο ανεργίας, ώστε να μην παίρνει 500 600 €, αλλά παίρνει 1100 € μισθό ",criticism,employment,employment,-0.6,0.0,0.2,"[['prime minister', 'person', '0.9'], ['greek solution proposal', 'organization', '0.7'], ['employers', 'group of people', '0.6'], ['young people', 'group of people', '0.8'], ['unemployment fund', 'organization', '0.5'], ['unemployed', 'group of people', '0.6'], ['salary', 'organization', '0.4'], ['€', 'organization', '0.3']]"
9,"today the Greek prime minister, the lying prime minister from Chalkida, calling her yesterday, spoke, listen to the dilemma of the elections and said that we must continue to go forward. Should we go back? The lying Prime Minister forgets that our country's debt has exceeded 415 million euros. The lying Prime Minister forgets, and I repeat, that his party owes EUR 400 million or more in maritime loans. And if everything he says is not a lie, then the man and he is sane. Tash brakes has a problem of perception one of 2 or he is lying or he does not understand what he says and what he has done, What damage has democracy done to the country","σήμερα ο έλληνας πρωθυπουργός, ο ψεύτης πρωθυπουργός από τη Χαλκίδα, την καλώντας από χθες, μίλησε, ακούστε για το δίλημμα των εκλογών και είπε ότι πρέπει να συνεχίσουμε να πηγαίνουμε μπροστά. Να γυρίσουμε πίσω; Ο ψεύτης πρωθυπουργός ξεχνάει ότι το χρέος της χώρας μας ξεπερασε τα 415 εκατομμύρια ευρώ. Ο ψεύτης πρωθυπουργός ξεχνάει και το επαναλαμβάνω ότι το κόμμα του χρωστάει 400 και πλέον εκατομμύρια ευρώ σε θαλασσοδάνεια. Και αν όλα αυτά που λέει δεν είναι ψέματα, τότε ο άνθρωπος και έχει σώας. Τας φρένας έχει πρόβλημα αντιληψης ένα από τα 2 ή λέει ψέματα ή δεν αντιλαμβάνεται τι λέει και τι έχει κάνει, Τι ζημιά έχει κάνει η δημοκρατία στη χώρα ",criticism,debt,debt regulations,-0.9,0.2,0.0,"[['greek prime minister', 'person', '1.0'], ['chalkida', 'location', '1.0'], ['country', 'location', '1.0'], ['euros', 'currency', '1.0'], ['party', 'organization', '1.0'], ['maritime loans', 'organization', '1.0'], ['democracy', 'political party', '1.0']]"
10,"Also? I have to say about Mr Tsipras. That it is too late for tears.Yesterday Mr Tsipras from Kozani copied our proposal and said the following. I will postpone the end date of the fifth unit in Ptolemaida, because the energy mix cannot be without lignite. The man who in his programme says he will abolish lignites now said yesterday, another liar. Potential prime minister wants to be says he will bring back the speakers, while in his programme he is clear about abolishing lignites listen their abdirism is clear, and I say abdirism to look a little Greek. What does abdiritism mean as it was done in ancient Abdera, the inhabitants of this city. The proyhods, like Mitsotakis, decided to make the most beautiful fountains. Too much money with marble, with a key to make the water run and the waterfalls sound in the city. But they forgot something very simple: the city had no water. They built, that is, they gave all the money from the funds to build marbles, granites, fountains and the fountains were left without water. So does the new democracy and SYRIZA promise everything to everyone, but they themselves cannot produce wealth.","Επίσης; Πρέπει να πω για τον κύριο Τσίπρα. Ότι είναι πολύ αργά για δάκρυα.Χθες ο κύριος Τσίπρας από την Κοζάνη αντέγραψε την πρότασή μας και είπε το εξής, Αμίμητο. Θα μεταθέσω το χρόνο λήξης της πέμπτης μονάδας στην Πτολεμαϊδα, διότι το ενεργειακό μείγμα δεν μπορεί να μην έχει λιγνίτη. Ο άνθρωπος που στο πρόγραμμά του λέει ότι θα καταργήσει τους λιγνίτες τώρα χθες είπε, άλλος ψεύτης. Εν δυνάμει πρωθυπουργός θέλει να είναι λέει ότι θα επαναφέρει τους ομιλητές, ενώ στο πρόγραμμά του είναι ξεκάθαρος για κατάργηση λιγνιτών ακούστε ο αβδηριτισμός τους είναι ξεκάθαρος.Και λέω αβδηριτισμός για να ψάξει λίγο Έλληνας. Τι σημαίνει αβδηριτισμός σημαίνει όπως έγινε στην αρχαία Άβδηρα, Οι κάτοικοι αυτής της πόλεως. Οι προύχοντες, όπως ο Μητσοτάκης αποφάσισαν να κάνουν τις ωραιότερες κρήνες. Πάρα πολλά λεφτά με μάρμαρα, με κλειδί για να τρέχουν τα νερά και να ακούγονται οι καταρράκτες μες στην πόλη. Ξέχασαν κάτι πολύ απλό όμως ότι η πόλη δεν είχε νερό. Έχτισαν δηλαδή έδωσαν όλα τα λεφτά των ταμείων για να χτίσουν μάρμαρα, Γρανίτες, Κρήνες και έμεναν χωρίς νερό οι κρήνες. Έτσι κάνει και η νέα δημοκρατία και ο ΣΥΡΙΖΑ υπόσχονται τα πάντα στους πάντες, αλλά οι ίδιοι δεν μπορούν να παράγουν πλούτο. ",criticism,energy,,-0.3,0.3,0.0,"[['mr tsipras', 'person', '1.0'], ['kozani', 'location', '1.0'], ['ptolemaida', 'location', '1.0'], ['lignite', 'organization', '1.0'], ['greek', 'country', '1.0'], ['mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0']]"
