id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank you for being here today and wish a happy birthday to the Greek mother and to every mother. And why do I say this? We all know the important role that every mother plays and plays. We trust the Greek mother, we believe in the Greek mother and that is why we honour her. And we must honour her as Greeks from ancient times until today and we must continue on exactly the same path.","Θα ήθελα να σας ευχαριστήσω που είστε σήμερα εδώ χρόνια πολλά στην Ελληνίδα μάνα και στην κάθε μάνα. Και το λέω αυτό γιατί; Όλοι γνωρίζουμε τον σημαντικό ρόλο που παίζει και διαδραματίζει η κάθε μητέρα. Εμείς εμπιστευόμαστε την Ελληνίδα μάνα, πιστεύουμε στην Ελληνίδα μάνα γι αυτό και την τιμούμε. Και πρέπει να την τιμούμε ως Έλληνες από την αρχαιότητα μέχρι και σήμερα και πρέπει να συνεχίσουμε ακριβώς στον ίδιο δρόμο.",political agenda,other,other,0.8,0,0,"[['greek', 'country', '1.0'], ['greek mother', 'group of people', '1.0'], ['greeks', 'group of people', '1.0']]"
2,"I want to comment on 2 things about Kozani. Yesterday afternoon, strangely enough, while we had booked a hotel room, the main hotelier cancelled the room. I do not want to believe that this is due to the premonition, fear, panic of the new democracy, because it is used to being a new democracy anyway. Such acts and actions, but I am saddened and I say this effortlessly by a fact that proves that we Macedonians are forgetting, forgetting the behaviour of the water-headed state of Athens, the 40,000 rodents and the rest of their Praetorian troops who have been preying for decades on the whole province and especially in Macedonia, so that we can talk about Macedonia, since we are in Macedonia. And I wonder how Kozanians even today defend this logic and mentality. Of the water-headed state of this monstrosity called Athens of 40,000 rodents. I am not referring to the inhabitants.","Θέλω να παρατηρήσω 2 πράγματα για την Κοζάνη. Χθες το απόγευμα, περιέργως, ενώ είχαμε κλείσει μια αίθουσα ξενοδοχείου ο κύριος ξενοδόχος μας ακύρωσε την αίθουσα. Δεν θέλω να πιστεύω ότι αυτό οφείλεται στην πρεμούρα, στον φόβο, στον πανικό της νέας δημοκρατίας, γιατί έτσι κι αλλιώς έχει συνηθίσει να κάνει νέα δημοκρατία. Τέτοιες πράξεις και ενέργειες, αλλά με θλίβει και το λέω αβίαστα ένα γεγονός που αποδεικνύει ότι εμείς οι Μακεδόνες ξεχνάμε, ξεχνάμε τη συμπεριφορά του υδροκέφαλου κράτους των Αθηνών, των 40.000 τρωκτικών και των υπόλοιπων πραιτοριανών τους οι οποίοι λυμαίνονται εδώ και δεκαετίες όλη την επαρχία και κυρίως στη Μακεδονία για να μιλάμε για την Μακεδονία, αφού είμαστε στη Μακεδονία. Και απορώ πώς Κοζανίτες ακόμη και σήμερα υπερασπίζονται αυτή τη λογική και τη νοοτροπία. Του υδροκέφαλου κράτους του τερατουργήματος αυτού που λέγεται Αθήνα των 40.000 τρωκτικών. Δεν αναφέρομαι στους κατοίκους. ",criticism,elections,other,-0.7,0,0,"[['kozani', 'location', '1.0'], ['new democracy', 'organization', '1.0'], ['macedonians', 'group of people', '1.0'], ['athens', 'location', '1.0'], ['praetorian troops', 'group of people', '0.8'], ['macedonia', 'location', '1.0']]"
3,"We had a second incident, the press conference. It really makes me happy, on the one hand you can be worried for a while, but on the other hand you are happy about the panic of the New Democracy. You know they were supposed to be here to channel TV Flash but suddenly they told us they don't have a camera. Okay, these things happen. Yes, we were told they don't have a camera if I'm not mistaken. They informed me a little while ago, but the Network is coming; the Kastoria Network, which is further away from Kozani. I don't know, it may be coincidences like that, but recurring coincidences didn't just happen here and in Crete where we went something similar, it happened okay, it can happen. It doesn't matter. Anyway, we knew it was a mountain for us when you're dealing with the state of Athens, the water-headed state. It makes sense that they would deal with it with all the resources they have, even if they are dirty and we've been dealing with it intensely for the last two months for the last four years. That's why in the debate, as you saw on the debate, I don't mince my words and we don't mince our words, they told the journalists that I thank the Greek people very much today for bringing me here because we were never shown on Mega not even once for 4 years on Sky at all on STAR at all. And in the others hardly ever. If we were given the opportunity to communicate our messages, we are sure that the battle would have been at least on equal terms.","Είχαμε και ένα δεύτερο συμβάν, την συνέντευξη Τύπου. Πραγματικά με χαροποιεί, από τη μία μπορεί να προβληματίζεσαι για λίγο, αλλά σε χαροποιεί από την άλλη ο πανικός της Νέας Δημοκρατίας. Ξέρετε ήταν να είναι εδώ να κανάλι τηλεοπτικό Flash αλλά ξαφνικά μας είπαν δεν έχουν κάμερα. Εντάξει, συμβαίνουν αυτά. Ναι, μας είπαν ότι δεν έχουν κάμερα αν δεν κάνω λάθος. Με ενημέρωσαν πριν από λίγο, αλλά το Δίκτυο έρχεται.Το Δίκτυο Καστοριάς, το οποίο είναι πιο μακριά από την Κοζάνη. Δεν ξέρω, μπορεί να είναι συμπτώσεις έτσι, αλλά επαναλαμβανόμενες συμπτώσεις δεν συνέβησαν μόνο εδώ και στην Κρήτη που πήγαμε κάτι παρεμφερές, έγινε εντάξει, μπορεί να συμβαίνουν. Δεν πειράζει. Έτσι κι αλλιώς ξέραμε ότι είναι βουνό για μας αυτή η ιστορία, όταν τα βάζεις με το κράτος των Αθηνών, το υδροκέφαλο κράτος. Είναι λογικό να αντιμετώπιζε με όλα τα μέσα που διαθέτει, ακόμη και αν αυτά είναι βρώμικα και τα αντιμετωπίσαμε τον τελευταίο δίμηνο εντονότατα 4 χρόνια. Για αυτό και στο ντιμπέιτ, όπως είδατε επί δεν μασάω τα λόγια μου και δεν μασάμε τα λόγια μας είπαν στους δημοσιογράφους ότι ευχαριστώ πάρα πολύς κόσμος σήμερα τον ελληνικό λαό που με έφερε εδώ γιατί στο Mega δεν παρουσιαστήκαμε ποτέ ούτε μια φορά επί 4 χρόνια στο Σκαϊ καθόλου στο STAR καθόλου. Και στα άλλα ελάχιστα. Εάν μας έδιναν τη δυνατότητα να επικοινωνήσουμε τα μηνύματά μας, είμαστε βέβαιοι ότι θα ήταν τουλάχιστον επί ίσοις όροις η μάχη. ",criticism,media,other,0,0,0,"[['new democracy', 'political party', '0.8'], ['tv flash', 'organization', '0.5'], ['kastoria network', 'organization', '0.5'], ['kozani', 'location', '0.6'], ['crete', 'location', '0.5'], ['athens', 'location', '0.9'], ['greek people', 'group of people', '0.5'], ['mega', 'organization', '0.5'], ['sky', 'organization', '0.5'], ['star', 'organization', '0.5']]"
4,"But unfortunately they are investing in the short memory of the Greeks. Here Kozani had at least 5 rallies for Macedonia and they vote for SYRIZA New Democracy who betrayed Macedonia. Okay, it's a logic that will be needed I guess. In the coming years a special investigation by special people, scientists to evaluate why all this happened I don't know everyone. He has his own opinion and his own view and because in the last few days an insult is being played out towards all of Greece from the Albanian side. What is happening, you know with Albania and the vision is not a random event for those who know history it reminds a little bit of the events of September 55, just before. Back when the Turks, because Erdogan is a very good student of. He is a very good teacher of Rama and vision is a very good student of Erdogan and Turkish chauvinism. In the events of 55. We had persecution of the Greeks of Constantinople. From the Greek side silence, the same things are happening today and I wonder about the Greeks I really wonder about the new Greeks with all that is happening, we have not put our minds as Greeks. Because the provocation that happened back then. And the Greeks were driven out of the city, our capital, because let me envision the reigning kingdom. Centuries of millennia, capital of Greece. And let others envision Kolonaki, everyone has their choices and priorities.","Αλλά δυστυχώς επενδύουν στην κοντή μνήμη των Ελλήνων. Εδώ η Κοζάνη είχε κάνει τουλάχιστον 5 συλλαλητήρια για τη Μακεδονία και ψηφίζουν ΣΥΡΙΖΑ Νέα Δημοκρατία που πρόδωσαν τη Μακεδονία. Εντάξει, είναι μια λογική που θα χρειαστεί φαντάζομαι. Τα επόμενα χρόνια μια ιδιαίτερη έρευνα από ειδικούς ανθρώπους, επιστήμονες για να αξιολογήσουν τον λόγο για τον οποίο έγιναν όλα αυτά δεν ξέρω ο καθένας. Έχει τη δική του άποψη και τη δική του θεώρηση και επειδή τις τελευταίες μέρες διαδραματίζεται μια προσβολή απέναντι σε όλη την Ελλάδα από την αλβανική πλευρά. Αυτό που συμβαίνει, ξέρετε με την Αλβανία και το όραμα δεν είναι ένα τυχαίο γεγονός για όσους γνωρίζουν ιστορία θυμίζει λίγο γεγονότα Σεπτεμβριανά του 55, λίγο πριν. Τότε που οι Τούρκοι, γιατί ο Ερντογάν είναι πολύ καλός μαθητής του. Είναι πολύ καλός δάσκαλος του Ράμα και όραμα είναι πολύ καλός μαθητής του Ερντογάν και του τουρκικού σωβινισμού. Στα γεγονότα του 55. Είχαμε διώξεις των Ελλήνων της Κωσταντινουπόλεως. Από την ελληνική πλευρά σιωπή, τα ίδια συμβαίνουν και σήμερα και απορώ με τους Έλληνες πραγματικά απορώ με τους νεοέλληνες με όλα αυτά που συμβαίνουν, που δεν έχουμε βάλει μυαλό ως Έλληνες. Διότι η προβοκάτσια που έγινε τότε. Και διώχθηκαν οι Έλληνες από την πόλη, την πρωτεύουσα μας, γιατί αφήστε να οραματίζομαι εγώ τη βασιλεύουσα. Αιώνες χιλιετηρίδες, πρωτεύουσα της Ελλάδας. Και ας οραματίζονται οι άλλοι το Κολωνάκι, ο καθένας έχει τις επιλογές του και τις προτεραιότητές του. ",criticism,national security,other,-0.4,0.3,0,"[['kozani', 'location', '1.0'], ['macedonia', 'location', '0.9'], ['syriza new democracy', 'political party', '1.0'], ['albania', 'location', '1.0'], ['greece', 'country', '1.0'], ['september 55', 'date', '1.0'], ['turks', 'group of people', '1.0'], ['erdogan', 'person', '1.0'], ['rama', 'person', '1.0'], ['greeks of constantinople', 'group of people', '1.0'], ['capital of greece', 'location', '1.0'], ['kolonaki', 'location', '1.0']]"
5,"But I have to say two or three things, which I think are very important on the issue of Albania. The special forces that arrested Beleri were trained by the Greek army, the Albanian special forces. In other words, look at the tragedy that our country is going through, the Albanian special forces were trained by Greek officers. Greek officers trained those murderers of Katsifa, Gumas, Beleri, Kokavesi and all those of the Kola who perished, were persecuted, hunted by the Albanian regime. We ask the Greek government, even today, to take initiatives and actions. To punish the fascist Rama because the Greek presence in Northern Epirus is not a small presence of a few years. It is centuries of millennia. We therefore call on the Prime Minister and the other political leaders to leave the election period tomorrow, so to speak. And take the plane that is taking rides. The Prime Minister's motor car and go to Tirana. All the political leaders. Ask to see Rama, ask to see Beleri in jail. It's a proposal. I am afraid that Tsipras, Mr Androulakis and the others will evaluate the proposal in the usual way. It is better to run around the villages within quotes and be applauded by the other party member than to do their national duty. The first act a serious country can do is this. Come close to the issue.","Πρέπει να πω δυο 3 πράγματα όμως, τα οποία θεωρώ πολύ σημαντικά για το θέμα με την Αλβανία. Τις ειδικές δυνάμεις που συνέλαβαν τον Μπέλερη τις εκπαίδευσε ο ελληνικός στρατός, τις ειδικές δυνάμεις της Αλβανίας. Δηλαδή δείτε την τραγωδία μέσα από την οποία περνάει η χώρα μας τις ειδικές δυνάμεις των Αλβανών της εκπαίδευσαν Έλληνες αξιωματικοί. Έλληνες αξιωματικοί εκπαίδευσαν αυτούς τους δολοφόνους του Κατσίφα του Γκούμα, του Μπελέρη, του Κοκαβέση και όλους αυτούς του κόλα που χάθηκαν διώχθηκαν, κυνηγήθηκαν από το αλβανικό καθεστώς. Εμείς έστω και σήμερα, ζητάμε από την ελληνική κυβέρνηση να αναλάβει πρωτοβουλίες και δράσεις. Να τιμωρήσουμε τον φασίστα Ράμα γιατί η ελληνική παρουσία στη Βόρειο Ήπειρο δεν είναι μια παρουσία μικρών, λίγων ετών. Είναι αιώνων χιλιετηρίδων. Καλούμε λοιπόν τον πρωθυπουργό και τους άλλους πολιτικούς αρχηγούς να αφήσουμε αύριο ας πούμε την προεκλογική περίοδο. Και να πάρουμε το αεροπλάνο που κάνει βόλτες. Ο πρωθυπουργός ΙΧ και να πάμε στα Τίρανα. Όλοι οι πολιτικοί αρχηγοί. Να ζητήσουμε να δούμε το Ράμα, να δούμε και τον Μπελέρη στη φυλακή. Είναι πρόταση. Φοβάμαι ότι ο Τσίπρας, ο κύριος Ανδρουλάκης και οι υπόλοιποι θα αξιολογήσουν την πρόταση με τη γνωστή διαδικασία. Είναι προτιμότερο να τρέχουν στα χωριά εντός εισαγωγικών και να τους χειροκροτεί ο άλλος ο κομματικός παρά να κάνουν το εθνικό τους καθήκον. Η πρώτη πράξη που μπορεί να κάνει μια σοβαρή χώρα είναι αυτή. Να έρθει κοντά στο ζήτημα. ",political agenda,external affairs,other,-0.45,0.2,0,"[['beleri', 'person', '0.9'], ['greek army', 'group of people', '0.7'], ['albanian special forces', 'group of people', '0.8'], ['katsifa', 'person', '0.6'], ['gumas', 'person', '0.6'], ['kokavesi', 'person', '0.6'], ['kola', 'group of people', '0.6'], ['albanian regime', 'organization', '0.7'], ['greek government', 'organization', '0.7'], ['rama', 'person', '0.8'], ['northern epirus', 'location', '0.7'], ['tirana', 'location', '0.7'], ['prime minister', 'person', '0.7'], ['tsipras', 'person', '0.6'], ['androulakis', 'person', '0.6.']]"
6,"The second one I have already instructed the Greek solution through the person in charge to our MEP to ask for the freezing of all Community funds to Albania. All. Albania gets too much from the European Union with the vote of Greece. Because Greece has the right to veto. So we ask the Greek government to veto as a second option. In relation to what Rama is doing. Veto that Rama's Albanians do not get even 1€, our issue is not the Albanians as citizens, but Rama whose logic has been dominated by an anti-Hellenic psyche for decades. His behaviour is also a matter of science, because practically half of his mother is a Greek redneck by birth. He himself has studied in Greece, has been hosted many, many times, but he has a hatred that many cannot justify. Of course, as the President of a drug state, because he is the President of a drug state, I think that what Greece should do is what the Greek solution is to stop all funding to Albania.","Η δεύτερη ήδη έδωσα εντολή η ελληνική λύση δια του αρμοδίου ανθρώπου στον ευρωβουλευτή μας να ζητήσει το πάγωμα όλων των  κοινοτικών κονδυλίων προς την Αλβανία. Όλων. Η Αλβανία παίρνει πάρα πολλά από την Ευρωπαϊκή Ένωση με ψήφο της Ελλάδος. Διότι η Ελλάς έχει το δικαίωμα να θέσει βέτο. Ζητάμε λοιπόν από την ελληνική κυβέρνηση να θέσει βέτο ως δεύτερη επιλογή. Σε σχέση με αυτά που κάνει ο Ράμα. Βέτο να μην πάρουν ούτε 1€ οι Αλβανοί του Ράμα το θέμα μας δεν είναι οι Αλβανοί ως πολίτες, αλλά ο Ράμα η λογική του όποίου διακατέχεται από έναν ψυχισμό ανθελληνικό εδώ και δεκαετίες. Είναι και θέμα επιστήμης η συμπεριφορά του, διότι ουσιαστικά η μισή η μάνα του είναι Ελληνίδα βλάχα στην καταγωγή. Ο ίδιος έχει σπουδάσει στην Ελλάδα, έχει φιλοξενηθεί πάρα πολλές φορές, αλλά έχει ένα μίσος το οποίο πολλοί δεν το δικαιολογούν. Βέβαια ως Πρόεδρος ενός ναρκοκράτους, γιατί πρόεδρος ναρκοκράκράτους είναι, θεωρώ ότι η Ελλάδα αυτό που πρέπει να κάνει είναι αυτό που κάνει η ελληνική λύση να σταματήσει κάθε χρηματοδότηση στην Αλβανία.",political agenda,external affairs,other,-0.9,0,0,"[['greek solution', 'organization', '1.0'], ['mep', 'person', '1.0'], ['community funds', 'organization', '1.0'], ['albania', 'location', '1.0'], ['european union', 'organization', '1.0'], ['greece', 'country', '1.0'], ['greek government', 'organization', '1.0'], ['rama', 'person', '1.0'], ['albanians', 'group of people', '1.0'], ['greek redneck', 'person', '0.5'], ['president', 'political party', '1.0']]"
7,"But I have this to say to New Democracy and its votes. A friend of Prime Minister Erdogan. Chavusoglu is a friend of Dendias. Rama is a friend of the Prime Minister and Dendias. If you have such friends, why do you need enemies? When you have friends who are enemies of Greece, then either you are not doing your job well or you are a fool. I think it is the former. I do not want to believe that either Mr Dendias or the Prime Minister are fools.","Έχω να πω το εξής όμως στη Νέα Δημοκρατία και στις ψηφοφορίες της. Φίλος του κυρίου πρωθυπουργού Ερντογάν. Φίλος του Δένδια ο Τσαβούσογλου. Φίλος του Πρωθυπουργού και του Δένδια ο Ράμα. Αν έχεις τέτοιους φίλους, τι τους θέλεις τους εχθρούς; Όταν έχεις φίλους εχθρούς της Ελλάδος, τότε ή εσύ δεν κάνεις καλά τη δουλειά σου ή είσαι ανόητος. Θεωρώ ότι συμβαίνει το πρώτο. Δεν θέλω να πιστέψω ότι είναι ανόητοι ούτε ο κύριος Δένδιας, ούτε ο κος πρωθυπουργός.",criticism,external affairs,other,-0.45,0.2,0,"[['new democracy', 'organization', '1.0'], ['prime minister erdogan', 'person', '1.0'], ['chavusoglu', 'person', '1.0'], ['dendias', 'person', '1.0'], ['rama', 'person', '1.0'], ['prime minister', 'person', '1.0'], ['greece', 'country', '1.0']]"
8,"And here. Let's go a little bit to the economy, although I was told to talk about the partnerships, you know I laugh at Mr. Androulakis, who one day says jail and the next day says release. So it is unbelievable what is happening. And I will say something that may sound a little strange, and all of Athens knows it, Athens is crying about this story. That the interceptions have given Mr Mitsotakis weapons in his quiver in relation to political opponents. I hope Androulakis does not behave in the following arrivals because of this. I hope so wholeheartedly because if a political leader is held hostage by wiretapping, then our democracy is finished.","Και εδώ. Να πάμε λίγο στα της οικονομίας, αν και μου είπαν να μιλήσω για τις συνεργασίες, ξέρετε γελάω με τον κύριο Ανδρουλάκη, ο οποίος μια μέρα λέει φυλακή και την άλλη μέρα λέει αποφυλάκιση. Δηλαδή είναι απίστευτα αυτά που συμβαίνουν. Και θα πω και κάτι μπορεί να ακουστεί και λίγο περίεργο το ξέρει όλη η Αθήνα, βοά η Αθήνα για αυτή την ιστορία. Ότι οι υποκλοπές έδωσαν όπλα στη φαρέτρα του κυρίου Μητσοτάκη σε σχέση με πολιτικούς αντιπάλους. Εύχομαι ο Ανδρουλάκης να μην συμπεριφέρεται με τα εξής αφίξεις λόγω αυτού του γεγονότος. Το εύχομαι ολόψυχα διότι αν είναι σε ομηρία ένας πολιτικός αρχηγός από τις υποκλοπές, τότε η δημοκρατία μας έχει τελειώσει.",criticism,democracy,wiretapping,-0.6,0,0,"[['mr. androulakis', 'person', '0.9'], ['mr. mitsotakis', 'person', '0.9'], ['athens', 'location', '0.9'], ['democracy', 'organization', '0.8']]"
9,"For those who follow the developments, they understand that in the last four years PASOK voted for about 78% of the bills of New Democracy. You do not understand that we are looking for partnerships, since they exist anyway. SYRIZA 50% and more with a drop in the last 3 months, because SYRIZA abstained from the parliamentary process. That's why its percentage dropped. Otherwise it wasn't at 55%. When I listen I agree, Mr Tsipras, to 55% of Mr Mitsotakis' bills. When I agree, Mr Androulakis, to 80% of Mr Mitsotakis' bills. I do not understand why you are arguing. I do not understand why they are arguing, why they are arguing and where they are arguing. They voted to sell off the lignites, to close them down. They voted together for the privatisation of the PPC. They also voted for the selling off of all public wealth, not to forget everything to do with the energy providers. Stock market all 3 together. They voted for fan creation and electronic auctions. Step by step all together, hand in hand. So therefore I can't see where they disagree. What their disagreement is. And I'm addressing the voters of these parties who are comfortable. Many of them and I understand that because unfortunately, the productive model of the country creates armies of partisans. A productive model that bases its operation on 74 percent service delivery means what does that mean, about 45-50 or more percent of Greeks are dependent on the public sector. Whether they are civil servants or pensioners. It simply means that this dependency is returned at the ballot box and the party armies will never change sides because their first concern is the party and then Greece.","Οι συνεργασίες είναι δεδομένες.Για όσους παρακολουθούν βέβαια τις εξελίξεις, αντιλαμβάνονται ότι η τελευταίο τα τελευταία 4 χρόνια το ΠΑΣΟΚ ψήφιζε περίπου 78% των νομοσχεδίων της Νέας Δημοκρατίας. Δεν καταλάβατε συνεργασίες ψάχνουμε, αφού υπάρχουν έτσι κι αλλιώς. Ο ΣΥΡΙΖΑ το 50% και πλέον με μια πτώση των τελευταίων 3 μηνών, γιατί ο ΣΥΡΙΖΑ απείχε από από τη διαδικασία της Βουλής. Γι αυτό και έπεσε το ποσοστό του. Ειδάλλως δεν ήταν στο 55%. Όταν ακούω συμφωνώ κύριε Τσίπρα, στο 55% των νομοσχεδίων του κυρίου Μητσοτάκη. Όταν εγώ συμφωνώ, κύριε Ανδρουλάκη, στο 80% των νομοσχεδίων του κυρίου Μητσοτάκη. Δεν καταλαβαίνω γιατί μαλώνετε. Δεν καταλαβαίνω γιατί αντιδικούν γιατί διαφωνούν και που διαφωνούν. Ψήφισαν το ξεπούλημα των λιγνιτών, το κλείσιμο τους. Ψήφισαν οι ίδιοι μαζί την ιδιωτικοποίηση της ΔΕΗ. Το ξεπούλημα όλου του δημόσιου πλούτου ψήφισαν επίσης για να μην ξεχνιόμαστε όλα όσα έχουν να κάνουν με τους παρόχους ενέργειας. Χρηματιστήριο όλοι μαζί και οι 3. Ψήφισαν τη δημιουργία των funds και τους ηλεκτρονικούς πλειστηριασμούς. Βήμα βήμα όλοι μαζί, χέρι χέρι. Άρα λοιπόν δεν μπορώ να καταλάβω που διαφωνούν. Ποια είναι η διαφωνία τους. Και απευθύνομαι στους ψηφοφόρους αυτών των κομμάτων που είναι βολεμένοι. Πολλοί εξ αυτών και το αντιλαμβάνομαι εγώ γιατί δυστυχώς, το παραγωγικό μοντέλο της χώρας δημιουργεί στρατούς κομματικούς. Ένα παραγωγικό μοντέλο που εδράζει τη λειτουργία του πάνω στην παροχή υπηρεσίας κατά 74%, σημαίνει τι σημαίνει ότι περίπου το 45-50 και παραπάνω τοις 100 των Ελλήνων εξαρτημένοι από το δημόσιο. Είτε είναι δημόσιοι υπάλληλοι ή συνταξιούχοι. Αυτό σημαίνει πολύ απλά ότι αυτή η εξάρτηση ανταποδίδεται στην κάλπη και οι κομματικοί στρατοί δεν θα αλλάξουν ποτέ πλευρά γιατί το πρώτο που τους ενδιαφέρει είναι το κόμμα και μετά η Ελλάδα. ",criticism,corruption,hospital privatization,-0.4,0.2,0.2,"[['pasok', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['mr tsipras', 'person', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['mr androulakis', 'person', '1.0'], ['ppc', 'organization', '1.0'], ['stock market', 'organization', '1.0'], ['greece', 'country', '1.0']]"
10,"That's the production model that got us here, you know? Kozani could have had free heating, the whole prefecture and the whole of Macedonia and it should have had it because it has the possibility of lignite. It should have been a vast construction site. It should have been. It is not. Kozani should have been a hub for Western Macedonia along with Florina to the north and west. We insist to the Prime Minister that the railway network should at some point be taken seriously in the rest of the country and a parallel axis of our border from Alexandroupoli should lead to Igoumenitsa with a vertical railway network so that we can transport the pre-conditions the cheapest means of transport. Of course, what products to transport. I say all this to show you how the different perception and image we have of the country's economy, of cooperation, warn the Greek people once again that Tsipras, Mitsotakis Androulakis after the day after the elections or the second election will come together in cooperation.
Not because they want to, but because the foreign agent is forcing it on them. The purpose is to go to co-exploitation of mineral wealth, strange as it may seem. If 20 years ago it was said that a government would come out and that it would very easily pass the treacherous Prespa agreement and no one from the political parties would object. Would you tell me what you are saying? It is not so, the parties will react, we saw it.
So the second one will happen after the elections and it will happen because the statements of the top executives of all the parties, PASOK, New Democracy and Syriza, are that this is the direction that anyone who doesn't want to see it has a problem in his vision. Anyone who does not want to see it has a problem in his thinking, his judgment and his memory.","Αυτό το παραγωγικό μοντέλο μας οδήγησε εδώ, ξέρετε; Η Κοζάνη θα μπορούσε να έχει δωρεάν θέρμανση, όλος ο νομός και όλη τη Μακεδονία και έπρεπε να έχει διότι έχει τη δυνατότητα του λιγνίτου. Θα έπρεπε να είναι ένα απέραντο εργοτάξιο. Έπρεπε. Δεν είναι. Η Κοζάνη θα έπρεπε να ήταν ένας κόμβος για τη Δυτική Μακεδονία μαζί με τη Φλώρινα προς Βορρά και Δύση. Εμείς επιμένουμε στον πρωθυπουργό ότι τον σιδηροδρομικό δίκτυο κάποια στιγμή πρέπει να γίνει σοβαρό στην υπόλοιπη χώρα και ένας παράλληλος άξονας των συνόρων μας από την Αλεξανδρούπολη να οδηγήσει στην Ηγουμενίτσα με κάθετο σιδηροδρομικό δίκτυο για να μπορούμε να μεταφέρουμε τα προϋόντα το πιο φθηνό μεταφορικό μέσο. Βέβαια, τι προϊόντα να μεταφέρεις. Τα λέω όλα αυτά για να δείτε πώς η διαφορετική αντίληψη και εικόνα έχουμε εμείς για την οικονομία της χώρας, για τις συνεργασίες, προειδοποιούν τον ελληνικό λαό για ακόμη μια φορά ότι Τσίπρας, Μητσοτάκης Ανδρουλάκης μετά την επομένη των εκλογών ή την δεύτερη εκλογική αναμέτρηση θα συρθούν σε συνεργασία. Όχι γιατί το θέλουν οι ίδιοι, αλλά γιατί τους το επιβάλλει ο ξένος παράγοντας. Ο σκοπός είναι να πάμε σε συνεκμετάλλευση του ορυκτού πλούτου, όσο και αν φαίνεται περίεργο. Αν πριν 20 χρόνια έλεγε ότι θα βγει μια κυβέρνηση και που πολύ εύκολα θα περάσει την προδοτική συμφωνία των Πρεσπών και κανείς δεν θα αντιδρούσε από τα πολιτικά κόμματα. Θα μου λέγατε τι είναι αυτά που λέτε; Δεν είναι έτσι, θα αντιδράσουν τα κόμματα, το είδαμε. Άρα το δεύτερο θα γίνει μετά τις εκλογές και θα γίνει γιατί οι δηλώσεις κορυφαίων στελεχών όλων των κομμάτων ΠΑΣΟΚ, Νέας Δημοκρατίας και ΣΥΡΙΖΑ είναι πως αυτή η κατεύθυνση όποιος δεν θέλει να το δει, έχει πρόβλημα στην όρασή του. Όποιος δεν θέλει να το καταλάβει, έχει πρόβλημα στη σκέψη του, στην κρίση του και στη μνήμη του.",political agenda,infrastucture,other,-0.3,0.3,0.1,"[['kozani', 'location', '0.6'], ['macedonia', 'location', '0.6'], ['florina', 'location', '0.6'], ['western macedonia', 'location', '0.6'], ['prime minister', 'person', '0.8'], ['alexandroupoli', 'location', '0.6'], ['igoumenitsa', 'location', '0.6'], ['tsipras', 'person', '0.8'], ['mitsotakis', 'person', '0.8'], ['androulakis', 'person', '0.8'], ['pasok', 'political party', '0.7'], ['new democracy', 'political party', '0.7'], ['syriza', 'political party', '0.7'], ['prespa agreement', 'organization', '0.6']]"
