NER,frequency,to appear? (yes/no),EN name,EL name
greece,909,yes,Greece,Ελλάδα
mitsotakis,753,yes,Mitsotakis,Μητσοτάκης
syriza,613,yes,SYRIZA,ΣΥΡΙΖΑ
new democracy,591,yes,New Democracy,Νέα Δημοκρατία
greek people,352,yes,Greek People,Έλληνες
pasok,342,yes,PASOK,ΠΑΣΟΚ
tsipras,331,yes,Tsipras,Τσίπρας
greek,278,no,Greek,Ελληνικά
21 may,222,yes,21 May,21 Μαΐου
country,199,no,Country,Χώρα
kke,193,yes,KKE,ΚΚΕ
europe,174,yes,Europe,Ευρώπη
european union,164,yes,European Union,Ευρωπαϊκή Ένωση
government,118,yes,Government,Κυβέρνηση
parliament,117,yes,Parliament,Κοινοβούλιο
mera25,116,yes,MeRA25,ΜέΡΑ25
crete,115,yes,Crete,Κρήτη
national health system,108,yes,National Health System,Εθνικό Σύστημα Υγείας
thessaloniki,101,yes,Thessaloniki,Θεσσαλονίκη
recovery fund,97,yes,Recovery Fund,Ταμείο Ανάκαμψης
sunday,95,yes,Sunday,Κυριακή
prime minister,91,yes,Prime Minister,Πρωθυπουργός
athens,90,yes,Athens,Αθήνα
tempi,85,yes,Tempi,Τέμπη
2019,81,yes,2019,2019
european,80,yes,European,Ευρωπαϊκή
turkey,80,yes,Turkey,Τουρκία
friends,79,yes,Friends,Φίλοι
varoufakis,75,yes,Varoufakis,Βαρουφάκης
euro,70,yes,Euro,Ευρώ
troika,70,yes,Troika,Τρόικα
state,69,yes,State,Κράτος
andreas papandreou,69,yes,Andreas Papandreou,Ανδρέας Παπανδρέου
young people,64,yes,Young People,Νέοι Άνθρωποι
four years,61,yes,Four Years,Τέσσερα Χρόνια
democracy,59,yes,Democracy,Δημοκρατία
evros,56,yes,Evros,Έβρος
ukraine,55,yes,Ukraine,Ουκρανία
democratic party,54,yes,Democratic Party,Δημοκρατικό Κόμμα
patras,54,yes,Patras,Πάτρα
chania,53,yes,Chania,Χανιά
piraeus,53,yes,Piraeus,Πειραιάς
farmers,49,yes,Farmers,Αγρότες
middle class,49,yes,Middle Class,Μεσαία Τάξη
germany,49,yes,Germany,Γερμανία
citizens,49,yes,Citizens,Πολίτες
larissa,47,yes,Larissa,Λάρισα
nato,47,yes,NATO,ΝΑΤΟ
2015,46,yes,2015,2015
